comment_text,comment_location,language,link available?,paper type?,knowledge type?,knowledge size?,purpose of providing link?,repository type?,knowledge transfer?,same authors?
"`` < -- globalinfo-start -- > The class that splits a KDTree node based on the median value of a dimension in which the node 's points have the widest spread. < br > < br > For more information see also : < br > < br > Jerome H. Friedman , Jon Luis Bentley , Raphael Ari Finkel ( 1977 ) . An Algorithm for Finding Best Matches in Logarithmic Expected Time . ACM Transactions on Mathematics Software . 3 ( 3 ) :209-226 . < p > < -- globalinfo-end -- > < -- technical-bibtex-start -- > BibTeX : < pre > & 64 ; article { Friedman1977 , author = { Jerome H. Friedman and Jon Luis Bentley and Raphael Ari Finkel } , journal = { ACM Transactions on Mathematics Software } , month = { September } , number = { 3 } , pages = { 209-226 } , title = { An Algorithm for Finding Best Matches in Logarithmic Expected Time } , volume = { 3 } , year = { 1977 } } < pre > < p > < -- technical-bibtex-end -- > < -- options-start -- > < -- options-end -- > @ author Ashraf M. Kibriya ( amk14 [ at-the-rate ] cs [ dot ] waikato [ dot ] ac [ dot ] nz ) @ version $ Revision : 1.1 $ ``",https://github.com/svn2github/weka/blob/c8366c454e9718d0e1634ddf4a72319dac3ce559/tags/before_revisionhandler/weka/core/neighboursearch/kdtrees/MedianOfWidestDimension.java#L29,Java,yes,journal,algorithm,class,reference,machine learning framework,pseudocode to source code,no
"`` Values from : G. Jaeschke , On strong pseudoprimes to several bases , Math . Comp . 61 ( 204 ) :915-926 , 1993. ``",https://github.com/freebsd/freebsd/blob/27b7f1989483d2014a93a8316f4dd211e6b25563/usr.bin/primes/spsp.c#L143,C,yes,journal,numbers,method,reference,networks and os,numbers to hard coded values,no
"`` `` '' '' Return the directed modularity matrix of G. The modularity matrix is the matrix B = A - < A > , where A is the adjacency matrix and < A > is the expected adjacency matrix , assuming that the graph is described by the configuration model . More specifically , the element B_ij of B is defined as B_ij = A_ij - k_i ( out ) k_j ( in ) m where k_i ( in ) is the in degree of node i , and k_j ( out ) is the out degree of node j , with m the number of edges in the graph . Parameters -- -- -- -- -- G : DiGraph A NetworkX DiGraph nodelist : list , optional The rows and columns are ordered according to the nodes in nodelist . If nodelist is None , then the ordering is produced by G.nodes ( ) . Returns -- -- -- - B : Numpy matrix The modularity matrix of G. Examples -- -- -- -- > > > import networkx as nx > > > G = nx.DiGraph ( ) > > > G.add_edges_from ( ( ( 1,2 ) , ( 1,3 ) , ( 3,1 ) , ( 3,2 ) , ( 3,5 ) , ( 4,5 ) , ( 4,6 ) , ... ( 5,4 ) , ( 5,6 ) , ( 6,4 ) ) ) > > > B = nx.directed_modularity_matrix ( G ) Notes -- -- - NetworkX defines the element A_ij of the adjacency matrix as 1 if there is a link going from node i to node j. Leicht and Newman use the opposite definition . This explains the different expression for B_ij . See Also -- -- -- -- to_numpy_matrix adjacency_matrix laplacian_matrix modularity_matrix References -- -- -- -- -- .. [ 1 ] E. A. Leicht , M. E. J. Newman , `` Community structure in directed networks '' , Phys . Rev Lett. , vol . 100 , no . 11 , p. 118703 , 2008. `` '' '' ''",https://github.com/metamorph-inc/openmeta-mms/blob/373073ec39ab240b77ef49aefb8f8197917a077f/bin/Python27/Lib/site-packages/networkx/linalg/modularitymatrix.py#L80,Python,yes,journal,algorithm,method,reference,other,formulas to source code,no
"`` @ brief applies a luminance correction ( initially High Dynamic Range ( HDR ) tone mapping ) using only the 2 local adaptation stages of the retina parvocellular channel : photoreceptors level and ganlion cells level . Spatio temporal filtering is applied but limited to temporal smoothing and eventually high frequencies attenuation . This is a lighter method than the one available using the regular retina : :run method . It is then faster but it does not include complete temporal filtering nor retina spectral whitening . Then , it can have a more limited effect on images with a very high dynamic range . This is an adptation of the original still image HDR tone mapping algorithm of David Alleyson , Sabine Susstruck and Laurence Meylan 's work , please cite : - > Meylan L. , Alleysson D. , and Susstrunk S. , A Model of Retinal Local Adaptation for the Tone Mapping of Color Filter Array Images , Journal of Optical Society of America , A , Vol . 24 , N 9 , September , 1st , 2007 , pp . 2807-2816 @ param inputImage the input image to process RGB or gray levels @ param outputToneMappedImage the output tone mapped image ``",https://github.com/cpvrlab/SLProject/blob/90e5a60b550a44489654386458d35457940c8b73/lib-SLExternal/opencv/include/opencv2/bioinspired/retinafasttonemapping.hpp#L103,C++,yes,journal,algorithm,method,reference,computer vision,numbers to hard coded values,no
"`` u '' '' '' FORMER RATES [ 89 ] Tsang , W. ; Hampson , R.F . J. Phys . Chem . Ref . Data 1986 , 15 , 1087.C2H4 + O2 -- > C2H3 + HO2 C.D.W divided original rate expression by 4 , to get rate expression per H atom.pg 1097 , Chemical Kinetic Database For Combustion Chemistry , 2 . Index of Reactions and Summary of Recommended Rate Expressions . No . 18,3.Verified by Karma Jamespg . 1184 : Discussion on evaluated dataRecommended data follows Walker 's estimates for O2+alkaneNote : The authors note that a lower lying channel , involving addition andrearrangement prior to decomposition , may exist.MRH 28-Aug-2009CURRENT RATESHua , H. ; B. Ruscic ; B. Wang . Chemical Physics 2005 , 311 , 335-341.C2H4 + O2 -- > C2H3 + HO2.Divided rate expression by 4 to get the rate expression per H atom . See page 338.Overall , this agrees with the earlier rate that we used.JDM 15-Jun-2010 . '' '' '' ''",https://github.com/ReactionMechanismGenerator/RMG-database/blob/4ab827e5df28b51b08c3f4c7f4c7d7c47e367b01/input/kinetics/families/H_Abstraction/rules.py#L2107,Python,yes,journal,science,method,reference,science,scientific finding to hardcoded rule,no
"`` Purpose : HERMITE_LOOKUP_POINTS looks up abscissas for Hermite quadrature . Discussion : The integral : integral ( -oo < x < +oo ) exp ( - x x ) f ( x ) dx The quadrature rule : sum ( 1 < = i < = n ) w ( i ) f ( x ( i ) ) . Mathematica can numerically estimate the abscissas of order N to P digits by the command : NSolve [ HermiteH [ n , x ] == 0 , x , p ] Licensing : This code is distributed under the GNU LGPL license . Modified : 27 April 2010 Author : John Burkardt Reference : Milton Abramowitz , Irene Stegun , Handbook of Mathematical Functions , National Bureau of Standards , 1964 , ISBN : 0-486-61272-4 , LC : QA47.A34 . Vladimir Krylov , Approximate Calculation of Integrals , Dover , 2006 , ISBN : 0486445798 , LC : QA311.K713 . Arthur Stroud , Don Secrest , Gaussian Quadrature Formulas , Prentice Hall , 1966 , LC : QA299.4G3S7 . Stephen Wolfram , The Mathematica Book , Fourth Edition , Cambridge University Press , 1999 , ISBN : 0-521-64314-7 , LC : QA76.95.W65 . Daniel Zwillinger , editor , CRC Standard Mathematical Tables and Formulae , 30th Edition , CRC Press , 1996 , ISBN : 0-8493-2479-3 , LC : QA47.M315 . Parameters : Input , int N , the order . N must be between 1 and 20 . Output , Scalar X [ N ] , the abscissas. ``",https://github.com/trilinos/Trilinos/blob/d1a98e6faf63065bee9155d63ad18248d3d32ad8/packages/intrepid/src/Shared/Intrepid_BurkardtRulesDef.hpp#L1771,C++,yes,book,numbers,method,reference,science,numbers to hard coded values,no
"`` < -- globalinfo-start -- > The class that splits a node into two based on the midpoint value of the dimension in which the node 's rectangle is widest . If after splitting one side is empty then it is slided towards the non-empty side until there is at least one point on the empty side. < br > < br > For more information see also : < br > < br > David M. Mount ( 2006 ) . ANN Programming Manual . College Park , MD , USA . < p > < -- globalinfo-end -- > < -- technical-bibtex-start -- > BibTeX : < pre > & 64 ; manual { Mount2006 , address = { College Park , MD , USA } , author = { David M. Mount } , organization = { Department of Computer Science , University of Maryland } , title = { ANN Programming Manual } , year = { 2006 } , HTTP = { Available from http : www.cs.umd.edu ~mount ANN } } < pre > < p > < -- technical-bibtex-end -- > < -- options-start -- > < -- options-end -- > @ author Ashraf M. Kibriya ( amk14 @ waikato.ac.nz ) @ version $ Revision : 1.2 $ ``",https://github.com/svn2github/weka/blob/c8366c454e9718d0e1634ddf4a72319dac3ce559/tags/before_revisionhandler/weka/core/neighboursearch/kdtrees/SlidingMidPointOfWidestSide.java#L29,Java,yes,manual (user manual for library),algorithm,class,reference,machine learning framework,description to source code,no
"`` The algorithm implemented by these routines bears a startling resemblance to one discovered by Beate Commentz-Walter , although it is not identical . See `` A String Matching Algorithm Fast on the Average , '' Technical Report , IBM-Germany , Scientific Center Heidelberg , Tiergartenstrasse 15 , D-6900 Heidelberg , Germany . See also Aho , A.V. , and M. Corasick , `` Efficient String Matching : An Aid to Bibliographic Search , '' CACM June 1975 , Vol . 18 , No . 6 , which describes the failure function used below. ``",https://github.com/PKRoma/git/blob/53f9a3e157dbbc901a02ac2c73346d375e24978c/kwset.c#L27,C,yes,book,algorithm,file,reference,other,pseudocode to source code,no
"`` Binary Fingerprint Methods brief This class provides efficient similarity calculation functionality for 2D binary fingerprints . BinaryFingerprintMethods uses a blocked inverted index data structures as a representation of 2D binary fingerprints . This data structure enables efficient calculation of similarity coefficients which use shared feature counts between two fingerprints . The shared feature count is the number of on-bits which two different fingerprints have in common . Currently the class provides the Tanimoto coefficient . Based on this similarity algorithm the class provides different useful public methods : link BinaryFingerprintMethods : :cutoffSearch Cutoff Search endlink : Similarities of all molecules in a query library to all molecules in a target library are calculated and the pairs whose similarities exceed a predefined cutoff are written to an output file . The performance of the method depends on size of the input query . For a single molecule query , the method has minimum performance and grows exponentially with the number of query molecules reaching a maximum performance at about 400 query molecules . As a consequence it is faster to bundle cutoff searches for multiple molecules if available . link BinaryFingerprintMethods : :connectedComponents Connected Components endlink : For an input library all pairwise similarities are calculated . A similarity graph is generated by inserting molecule pairs as edges . A variable similarity cutoff is applied to insert only those edges whose corresponding similarity exceeds this cutoff . Thereby , a similarity network is created and the connected components are finally calculated . If desired , the nearest neighbour of every molecule can additionally be returned . link BinaryFingerprintMethods : :averageLinkageClustering Hierarchical Clustering endlink : A set of input molecules is hierarhically clustered according to the average linkage criterion . Two different algorithms are implemented to make efficient use of the inverted index algorithm and the available hardware resources . Both methods are based on % Reciprocal Nearest Neighbours . The link BinaryFingerprintMethods : :averageLinkageParallel parallel variant endlink is used to handle large input library sizes . If the similarity matrix for the remaining clusters or possibly all input molecules fit into main memory , the matrix is calculated and the link BinaryFingerprintMethods : :NNChainCore Nearest Neighbour Chain algorithm endlink is used . Finally , the method of link BinaryFingerprintMethods : :clusterSelectionKGS Kelly et al . endlink is used to select an level for cluster selection and the created clusters are returned . link BinaryFingerprintMethods : :calculateSelectionMedoid Calculate Medoid endlink : For a set of input molecules the Medoid is calculated . The medoid is the molecule with the highest averaged similarity to all other molecules . Additionally , the method returns the averaged pairwise similarities for every molecule in the input set . Citations : Clustering Algorithms : F. Murtagh , Compstat Lectures vol . 4 , 1985 , Physica-Verlag Würzburg-Wien . ( Volume titel : Multidimensional clustering algorithms ) . Similarity Update : G. Lance and W. Williams , Comput J . ( 1967 ) , 9 , 373-380 . ( doi : 10.1093 comjnl 9.4.373 ) . Cutoff Selection : L.A. Kelley , S.P . Gardner and M.J. Sutcliffe , % Protein Eng . ( 1996 ) , 9 , 1063-1065 . ( doi : 10.1093 protein 9.11.1063 ) . ``",https://github.com/BALL-Project/ball/blob/b9ac048ae7d9307d3bfc9d09c8853f5a2d797580/include/BALL/STRUCTURE/binaryFingerprintMethods.h#L32,C++,yes,book,algorithm,class,reference,science,pseudocode to source code,no
"`` Copyright ( c ) 2011-2013 : G-CSC , Goethe University Frankfurt This file is part of UG4 . UG4 is free software : you can redistribute it and or modify it under the terms of the GNU Lesser General Public License version 3 ( as published by the Free Software Foundation ) with the following additional attribution requirements ( according to LGPL GPL v3 §7 ) : ( 1 ) The following notice must be displayed in the Appropriate Legal Notices of covered and combined works : `` Based on UG4 ( www.ug4.org license ) '' . ( 2 ) The following notice must be displayed at a prominent place in the terminal output of covered works : `` Based on UG4 ( www.ug4.org license ) '' . ( 3 ) The following bibliography is recommended for citation and must be preserved in all covered files : `` Reiter , S. , Vogel , A. , Heppner , I. , Rupp , M. , and Wittum , G. A massively parallel geometric multigrid solver on hierarchically distributed grids . Computing and visualization in science 16 , 4 ( 2013 ) , 151-164 '' `` Vogel , A. , Reiter , S. , Rupp , M. , Nägel , A. , and Wittum , G. UG4 -- a novel flexible software system for simulating pde based models on high performance computers . Computing and visualization in science 16 , 4 ( 2013 ) , 165-179 '' This program is distributed in the hope that it will be useful , but WITHOUT ANY WARRANTY ; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE . See the GNU Lesser General Public License for more details. ``",https://github.com/UG4/ugcore/blob/fd783d5abfa67f0bbaae380cd52cbb2beff8e0d4/ugbase/lib_disc/quadrature/gauss/gauss_quad_triangle.cpp#L1,C++,yes,journal,background,n/a,related,simulation,no transfer,yes
