Sentence #,Word,Tag
Sentence: 1,``,O
,Calculation,B-BOOKTITLE_OR_JOURNAL
,from,I-BOOKTITLE_OR_JOURNAL
,Communications,I-BOOKTITLE_OR_JOURNAL
,Of,I-BOOKTITLE_OR_JOURNAL
,The,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,",",O
,Vol,B-VOLUME
,6,I-VOLUME
,",",O
,No,B-NUMBER
,8,I-NUMBER
,",",O
,p,B-PAGES
,444,I-PAGES
,sun,O
,is,O
,0,O
,",",O
,sat,O
,is,O
,6,O
,``,O
Sentence: 2,``,O
,Maxime,O
,Crochemore,O
,and,O
,Dominique,O
,Perrin,O
,",",O
,Two-way,B-TITLE
,string-matching,I-TITLE
,",",O
,Journal,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,the,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,",",O
,38,B-VOLUME
,(,O
,3,B-NUMBER
,),O
,:651-675,B-PAGES
,",",O
,July,B-MONTH
,1991.,B-YEAR
,``,O
Sentence: 3,``,O
,``,O
,'',O
,'',O
,Fabio,B-AUTHOR
,Luporini,I-AUTHOR
,and,O
,David,B-AUTHOR
,A.,I-AUTHOR
,Ham,I-AUTHOR
,and,O
,Paul,B-AUTHOR
,H.,I-AUTHOR
,J.,I-AUTHOR
,Kelly,I-AUTHOR
,.,O
,An,B-TITLE
,algorithm,I-TITLE
,for,I-TITLE
,the,I-TITLE
,optimization,I-TITLE
,of,I-TITLE
,finite,I-TITLE
,element,I-TITLE
,integration,I-TITLE
,loops,I-TITLE
,.,O
,Submitted,O
,to,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,TOMS,I-BOOKTITLE_OR_JOURNAL
,",",O
,2016,B-YEAR
,.,O
,'',O
,'',O
,'',O
,'',O
Sentence: 4,``,O
,Robert,B-AUTHOR
,Sedgewick,I-AUTHOR
,partition,O
,algorithm,O
,Based,O
,on,O
,:,O
,Robert,O
,Sedgewick,O
,.,O
,``,O
,Implementing,B-TITLE
,quick,I-TITLE
,sort,I-TITLE
,programs,I-TITLE
,'',O
,.,O
,Communication,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,.,O
,pp.847,B-PAGES
,-,I-PAGES
,857,I-PAGES
,.,O
,Volumn,B-VOLUME
,21,I-VOLUME
,.,O
,Number,B-NUMBER
,10,I-NUMBER
,.,O
,1978.,B-YEAR
,``,O
Sentence: 5,``,O
,The,O
,method,O
,for,O
,generating,O
,gamma,O
,variables,O
,appears,O
,in,O
,``,O
,A,B-TITLE
,Simple,I-TITLE
,Method,I-TITLE
,for,I-TITLE
,Generating,I-TITLE
,Gamma,I-TITLE
,Variables,I-TITLE
,'',O
,by,O
,Marsaglia,B-AUTHOR
,and,O
,Tsang,B-AUTHOR
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Mathematical,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,",",O
,Vol,B-VOLUME
,.,I-VOLUME
,26,I-VOLUME
,",",O
,No,B-NUMBER
,3,I-NUMBER
,",",O
,Sep,B-MONTH
,2000,B-YEAR
,",",O
,pages,B-PAGES
,363-372,I-PAGES
,.,O
,'',O
Sentence: 6,``,O
,Matsumoto,B-AUTHOR
,",",I-AUTHOR
,Makoto,I-AUTHOR
,",",O
,and,O
,Takuji,B-AUTHOR
,Nishimura,I-AUTHOR
,.,O
,``,O
,Mersenne,B-TITLE
,twister,I-TITLE
,:,I-TITLE
,a,I-TITLE
,623-dimensionally,I-TITLE
,equidistributed,I-TITLE
,uniform,I-TITLE
,pseudo-random,I-TITLE
,number,I-TITLE
,generator,I-TITLE
,.,I-TITLE
,'',O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Modeling,I-BOOKTITLE_OR_JOURNAL
,and,I-BOOKTITLE_OR_JOURNAL
,Computer,I-BOOKTITLE_OR_JOURNAL
,Simulation,I-BOOKTITLE_OR_JOURNAL
,(,I-BOOKTITLE_OR_JOURNAL
,TOMACS,I-BOOKTITLE_OR_JOURNAL
,),I-BOOKTITLE_OR_JOURNAL
,8.1,B-VOLUME
,(,O
,1998,B-YEAR
,),O
,:,O
,3-30.,B-PAGES
,``,O
Sentence: 7,``,O
,brief,O
,2-D,O
,points-to-implicit,O
,converter,O
,based,O
,on,O
,Zhu,O
,and,O
,Bridson,O
,'s,O
,method,O
,.,O
,see,O
,Zhu,B-AUTHOR
,",",I-AUTHOR
,Yongning,I-AUTHOR
,",",O
,and,O
,Robert,B-AUTHOR
,Bridson,I-AUTHOR
,.,O
,``,O
,Animating,B-TITLE
,sand,I-TITLE
,as,I-TITLE
,a,I-TITLE
,fluid,I-TITLE
,.,I-TITLE
,'',O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Graphics,I-BOOKTITLE_OR_JOURNAL
,(,I-BOOKTITLE_OR_JOURNAL
,TOG,I-BOOKTITLE_OR_JOURNAL
,),I-BOOKTITLE_OR_JOURNAL
,.,O
,Vol,B-VOLUME
,.,I-VOLUME
,24,I-VOLUME
,.,O
,No,B-NUMBER
,.,I-NUMBER
